"a","b","sigma1","Scenario"
0.912184507968334,4.35644123999272,0.791841898420628,"Scenario 2 (a=0.9, b=5, sig=1)"
0.90316718129277,4.95149846374822,0.816338797220233,"Scenario 2 (a=0.9, b=5, sig=1)"
0.884381979744206,1.81898266553859,4.84290155415375,"Scenario 3 (a=0.9, b=1, sig=5)"
0.881674728009491,1.35976971168689,4.90521098500737,"Scenario 3 (a=0.9, b=1, sig=5)"
0.79967505865798,2.39913556827025,4.95847095048135,"Scenario 3 (a=0.9, b=1, sig=5)"
0.882731404420301,0.964500098636925,4.45301474102457,"Scenario 3 (a=0.9, b=1, sig=5)"
0.814224290029603,2.67396703894676,4.81943783742805,"Scenario 3 (a=0.9, b=1, sig=5)"
0.897025330385407,0.000404501755684543,4.64416683027508,"Scenario 3 (a=0.9, b=1, sig=5)"
0.908959961677706,0.927285759106217,5.01635562620794,"Scenario 3 (a=0.9, b=1, sig=5)"
0.933284315127564,0.374699036609735,4.60811563971524,"Scenario 3 (a=0.9, b=1, sig=5)"
0.842806742737522,1.15437760672495,4.89060945729707,"Scenario 3 (a=0.9, b=1, sig=5)"
0.799071194652661,0.68779529408356,4.7585826574026,"Scenario 3 (a=0.9, b=1, sig=5)"
0.879412708922601,0.699232944096009,5.08026836942236,"Scenario 3 (a=0.9, b=1, sig=5)"
0.79622084171844,1.69224296840003,5.65755705594091,"Scenario 3 (a=0.9, b=1, sig=5)"
0.86203484555866,0.898311475225907,4.93793027885581,"Scenario 3 (a=0.9, b=1, sig=5)"
0.878288616188858,1.04665987763537,5.40699909357188,"Scenario 3 (a=0.9, b=1, sig=5)"
0.824930196476177,1.81357391401578,4.61973347583904,"Scenario 3 (a=0.9, b=1, sig=5)"
0.950823140745454,0.469348916311728,4.79971046198929,"Scenario 3 (a=0.9, b=1, sig=5)"
0.783413895617326,1.88071323048891,5.3069116242983,"Scenario 3 (a=0.9, b=1, sig=5)"
0.805115603391951,2.47163895461967,5.14131544622839,"Scenario 3 (a=0.9, b=1, sig=5)"
0.832481574330087,3.36851570374932,4.28435091107141,"Scenario 3 (a=0.9, b=1, sig=5)"
0.773247449257547,2.03841688005225,4.59230522634671,"Scenario 3 (a=0.9, b=1, sig=5)"
0.685906368831768,2.01272846378809,4.43098975521242,"Scenario 3 (a=0.9, b=1, sig=5)"
0.87412172918663,1.38232436633615,4.89944132653726,"Scenario 3 (a=0.9, b=1, sig=5)"
0.880608833497881,1.2967012071476,5.62156039916605,"Scenario 3 (a=0.9, b=1, sig=5)"
0.919721513410423,1.14838456253119,4.56711844909758,"Scenario 3 (a=0.9, b=1, sig=5)"
0.760112133859172,3.76795091140161,4.70508114851654,"Scenario 3 (a=0.9, b=1, sig=5)"
0.89674685586657,0.633071348382088,5.29369528412717,"Scenario 3 (a=0.9, b=1, sig=5)"
0.848260798227427,1.77683913879676,4.42841546760036,"Scenario 3 (a=0.9, b=1, sig=5)"
0.828041975091308,1.41989379399637,5.01247863991275,"Scenario 3 (a=0.9, b=1, sig=5)"
0.74630788210642,1.74310139327264,5.01307019994855,"Scenario 3 (a=0.9, b=1, sig=5)"
0.927862580568998,0.334543403490287,4.24503456294941,"Scenario 3 (a=0.9, b=1, sig=5)"
0.839717067559322,1.6166054867372,4.62017406196229,"Scenario 3 (a=0.9, b=1, sig=5)"
0.831045941165309,0.468463804104791,4.3587882668066,"Scenario 3 (a=0.9, b=1, sig=5)"
0.849686889125002,1.39619024609379,4.63259175166081,"Scenario 3 (a=0.9, b=1, sig=5)"
0.771749519862622,2.78947352698818,4.97120558428656,"Scenario 3 (a=0.9, b=1, sig=5)"
0.940327175110144,0.815515421234609,4.27043543971363,"Scenario 3 (a=0.9, b=1, sig=5)"
0.923039189407855,0.469696912581694,5.01623325625134,"Scenario 3 (a=0.9, b=1, sig=5)"
0.718246072442276,3.63249773627184,4.46108820862682,"Scenario 3 (a=0.9, b=1, sig=5)"
0.908922694932168,0.743678179147376,4.24288114449558,"Scenario 3 (a=0.9, b=1, sig=5)"
0.846918330674074,0.830462641458449,5.37442208601223,"Scenario 3 (a=0.9, b=1, sig=5)"
0.886199941335458,0.781164011672896,5.09753115891779,"Scenario 3 (a=0.9, b=1, sig=5)"
0.860301284645379,1.99706044930016,4.89488131042427,"Scenario 3 (a=0.9, b=1, sig=5)"
0.885919958056157,0.211971998185597,4.83063009774053,"Scenario 3 (a=0.9, b=1, sig=5)"
0.831502005709416,1.02750492919454,4.53828089887214,"Scenario 3 (a=0.9, b=1, sig=5)"
0.952472264568174,0.159825359899831,4.68238252493121,"Scenario 3 (a=0.9, b=1, sig=5)"
0.859288770537899,2.26658983313325,5.25298420694494,"Scenario 3 (a=0.9, b=1, sig=5)"
0.814344175893493,1.93026072884706,5.31420504027943,"Scenario 3 (a=0.9, b=1, sig=5)"
0.807409433242599,1.17967510001181,4.76878479105617,"Scenario 3 (a=0.9, b=1, sig=5)"
0.809194358030127,2.91943477627214,4.78271247303304,"Scenario 3 (a=0.9, b=1, sig=5)"
0.873720460576564,0.239275444301735,4.85226583113122,"Scenario 3 (a=0.9, b=1, sig=5)"
0.882673101306563,1.7020048378482,5.13875525115335,"Scenario 3 (a=0.9, b=1, sig=5)"
0.815545090760828,2.7067446416666,4.54509677228067,"Scenario 3 (a=0.9, b=1, sig=5)"
0.853939954693232,2.33271975585345,4.7454400076758,"Scenario 3 (a=0.9, b=1, sig=5)"
0.897549891784424,0.109008719148327,4.60213989121858,"Scenario 3 (a=0.9, b=1, sig=5)"
0.885758662210737,0.148391306710004,4.80112598490063,"Scenario 3 (a=0.9, b=1, sig=5)"
0.858063852112479,3.12635580050532,4.50248643038171,"Scenario 3 (a=0.9, b=1, sig=5)"
0.870358700017203,0.570724346542085,4.66333494883864,"Scenario 3 (a=0.9, b=1, sig=5)"
0.750305314164654,3.53384505538022,4.3111646617616,"Scenario 3 (a=0.9, b=1, sig=5)"
0.859756147654758,0.868278494180685,5.72850610819302,"Scenario 3 (a=0.9, b=1, sig=5)"
0.895793180857106,0.704947239946237,5.1541071091545,"Scenario 3 (a=0.9, b=1, sig=5)"
