"a","b","sigma1","nu"
0.853088556623839,1.22921583656027,2.25524112692072,"nu = 2"
0.830957660932721,1.29025572513698,1.99991874363921,"nu = 2"
0.916499315458667,0.97637758288699,2.89039367935297,"nu = 2"
0.917981675382749,0.739602603412068,1.46333908421022,"nu = 2"
0.881558008327887,1.12972782534518,1.5873360430048,"nu = 2"
0.862989836983342,1.38284175711095,1.82333842065998,"nu = 2"
0.860118499529035,0.859543106864432,2.5656581204091,"nu = 2"
0.863974843467805,1.28229180460258,2.09575542955131,"nu = 2"
0.893144691775309,1.24824495648372,2.39325589220768,"nu = 2"
0.760136257727711,2.07752951918884,1.47509966548161,"nu = 2"
0.827494540550367,1.7380935836957,2.56103304760002,"nu = 2"
0.888150723194766,0.856934344267061,3.07878040133131,"nu = 2"
0.844141455577699,1.05334450088465,9.43432424813235,"nu = 2"
0.835025443139004,0.869203579073439,2.27993819770713,"nu = 2"
0.906813379720009,1.07338850791238,4.79703935475254,"nu = 2"
0.878355914247711,1.13106728805665,2.36976372891655,"nu = 2"
0.822500415531833,1.13056632595894,1.83662083743446,"nu = 2"
0.829801607582686,1.8117901630673,1.73035495098711,"nu = 2"
0.78024030933687,2.29170638772811,1.44918237326042,"nu = 2"
0.889880986108886,1.49912746282328,2.26928659209307,"nu = 2"
0.859656998004173,0.899776784610963,1.59183058875759,"nu = 2"
0.866047374798033,0.402382798740825,3.20109001522704,"nu = 2"
0.674258536038392,2.57201044308513,1.88601444252405,"nu = 2"
0.831168382157261,1.63137150069785,1.97846400155112,"nu = 2"
0.891492665533674,0.829434733911923,1.52525714914124,"nu = 2"
0.907403541180332,0.685415845431725,2.56039111038163,"nu = 2"
0.702843005632802,2.66597952680449,2.07323116996302,"nu = 2"
0.89139256498052,0.757189310871304,1.84411082896713,"nu = 2"
0.811548339513857,1.36360583543549,2.34046854047215,"nu = 2"
0.901956526026495,1.13251593343446,2.52603810280651,"nu = 2"
0.780510846933231,1.82964204939591,1.8851056893409,"nu = 2"
0.76105285027318,2.99251576645909,2.7751587353122,"nu = 2"
0.86298766677299,1.27891541872988,2.55066226145351,"nu = 2"
0.879576301454927,-0.495862469649311,9.45565700703992,"nu = 1"
0.874381260719314,3.99888315433009,17.3114373233405,"nu = 1"
0.891629966182184,3.95349199776787,30.7865902377126,"nu = 1"
0.92343377248965,-0.525656489292371,15.3558837622516,"nu = 1"
0.904657959081167,-0.232819465406537,9.44699227760772,"nu = 1"
0.853047170217249,1.92258896924295,5.80428665008608,"nu = 1"
0.910401049515191,0.612432641272657,5.29642319853537,"nu = 1"
0.899917523646342,0.884126380329995,5.29533871748562,"nu = 1"
0.876954851728011,-3.9566839895451,36.6765180536192,"nu = 1"
0.765775979923076,2.99271344189971,4.90795238468135,"nu = 1"
0.92865706169987,0.110342625065944,6.99117093374203,"nu = 1"
0.905971711542292,3.73268466661098,29.4201678766629,"nu = 1"
0.897101613901558,1.50758521150158,7.95754294184854,"nu = 1"
0.840015620564557,1.59727372889538,5.96734905329626,"nu = 1"
0.910115349683418,0.495234713895519,3.4578859214669,"nu = 1"
0.846148851620038,-0.860147358717782,16.0910260214867,"nu = 1"
0.888348894730494,0.604053189216233,4.96509488896265,"nu = 1"
0.83594362048191,2.24047403259474,6.51681709196638,"nu = 1"
0.901686360679121,0.760547362101184,20.4046197417329,"nu = 1"
0.899808695903111,0.645414330590707,10.8862677369622,"nu = 1"
0.731405729503994,2.79761734175216,7.38652210203098,"nu = 1"
0.911299633415155,0.691465697423865,7.05996753031129,"nu = 1"
0.883864983780031,1.90401052949996,4.25278088491881,"nu = 1"
0.862320722350332,6.07439539363648,26.9338010145451,"nu = 1"
0.894707246073094,1.24357509882073,5.91122647408782,"nu = 1"
0.857125187974534,2.61149325949044,7.55355345866227,"nu = 1"
0.882223924018739,-22.6437665889534,100,"nu = 1"
0.726840217771971,1.5186419372698,4.15694178460058,"nu = 1"
